Order ID,Invoice ID,New Invoice ID,Invoice Reference Number (IRN),Shipment date,Invoice date,GST ID,ASIN,SKU,Item Title,Quantity,Item Cost,GST Rate,CESS Rate,HSN,Warehouse Code/Name,Status,Tax Collected at Source (TCS)
UgwRYh3ct,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B073FKXWSJ,B073FKXWSJ,Autofy Universal Side Bag/Saddle/Travel Bag/Carrier for All Bikes (Black),1,Rs.100.00,12%,0%,39231190,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UnJfvp70t,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CDQ8FXWL,VKAMCOVER0127,Autofy Glory 100% (Tested) Waterproof RE Size Bike Cover - Dust & UV Proof Bike Body Cover with Waterproof Taping Along The Stitches for All Two Wheeler Bikes Upto Royal Enfield Size - Black,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UwVwvsjKt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJJQMH9,VKAMCLEANER0061,Autofy 500GSM - 40cm x 40cm - [Pack of 3] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJKpxF1Gt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UCQ1bM73t,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:59:17 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UGLZ3hkBt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJKQTX2,VKAMCLEANER0104,Autofy 350GSM - 40cm x 40cm - [Pack of 4] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVjjbKmkt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3g6Tz3vt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0B3RCN185,CACOVER0100,AUTOGUYS PM-I Car Body Cover for Maruti Suzuki Baleno [Year 2015 Onwards] - Dust & UV Proof Premium Matty Car Cover with 3 Body Belts,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1tDNycQt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:57 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0BBRF9286,VKAMLIGHT0258,Autofy Aluminium Airplane Light (7 Colors) Waterproof Universal Warning Signal Blinker Led Strobe Rechargeable Safety Light For Bike Motorcycles Cars Bicycle Drones Helmet (Pack Of 2),1,Rs.100.00,12%,0%,85122110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UgdZ6T70t,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:57 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1cBNH7Wt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0C4YWQP79,CACOVER0304,AutoGuys DF-I 100% Waterproof Car Cover Military Jungle Print Fabric for Toyota Innova Crysta [Year 2016 Onwards] - Dust & UV Proof Car Cover with Soft Cotton Flock Layer Inside for Paint Protection,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVCsyq1Vt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:57 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UGJr3QjNt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UCmp4F1pt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UgQ8LS70t,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3JZhq7Pt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3fwNn1Pt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:58:43 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJJQMH9,VKAMCLEANER0061,Autofy 500GSM - 40cm x 40cm - [Pack of 3] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Unxw39jBt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6cznHmdt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CDC2QLLT,CACOVER0659,Autofy Glory 100% (Tested) Waterproof Car Cover for Maruti Vitara Brezza [Year 2015 Onwards] - Dust & UV Proof Cover with Waterproof Taping (Black),1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1bsR11zt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:59:17 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UCd2PH3Qt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UgcHVDjgt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0C4YTYFHY,CACOVER0308,AutoGuys DF-I 100% Waterproof Car Cover Military Jungle Print Fabric for Mahindra Scorpio N [Year 2022 Onwards] - Dust & UV Proof Car Cover with Soft Cotton Flock Layer Inside for Paint Protection,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UnMZdS3Ht,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0B3TPVR9P,AGLOCK0002,AUTOGUYS Anti Theft Heavy Duty Stainless Steel Wheel Disc Brake Lock for Bike/Motorcycle Security (Chrome Finish),2,Rs.100.00,12%,0%,87150090,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1LcJGjQt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSK9T1FP,VKAMLOCK0015,Autofy Anti Theft Heavy Duty Stainless Steel Wheel Disc Brake Lock for Bike/Motorcycle Security (Chrome Finish),1,Rs.100.00,12%,0%,87150090,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVxJQ53xt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXTMBz3Zt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0C9J4WXNZ,CACOVER0578,Autofy RedTech-Black Piping 100% Waterproof Car Cover for Maruti Suzuki Baleno [Year 2015 Onwards] -Dust & UV Proof Car Cover - Soft Cotton Flock Layer Inside for Paint Protection,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Ug6W3kkjt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UwG6xS1Ct,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXhVmP1kt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0C4YTYFHY,CACOVER0308,AutoGuys DF-I 100% Waterproof Car Cover Military Jungle Print Fabric for Mahindra Scorpio N [Year 2022 Onwards] - Dust & UV Proof Car Cover with Soft Cotton Flock Layer Inside for Paint Protection,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVbjPB3yt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UGvMt1k5t,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXqGnckBt,U6cznHmdt-66x,INVOICE0001,,12 Mar  2024 2:13:36 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U60yQTj9t,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJJ2L8jbt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPHZMHS,VKAMCOMBO0030,Autofy Brush RAGE-1 RAGE-2 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush (2Pcs Combo),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3kRmvm3t,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B01N1RVI18,B01N1RVI18,Autofy Heavy Duty 4 Digit Number Lock Helmet Lock Multipurpose Lock Bike Lock Resettable Combination Lock (Black & Orange - Upgraded 2nd Gen),1,Rs.100.00,12%,0%,83014190,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UV9dBzm1t,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJKN6BT,VKAMCLEANER0085,Autofy 550GSM - 40cm x 40cm - [Pack of 1] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1kyvYm1t,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UgfGYQ7Mt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:57 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXl54Xjbt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Un35lxjVt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSK9T1FP,VKAMLOCK0015,Autofy Anti Theft Heavy Duty Stainless Steel Wheel Disc Brake Lock for Bike/Motorcycle Security (Chrome Finish),1,Rs.100.00,12%,0%,87150090,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UNSygQ1Ht,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U16xSs7gt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:57 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6DdsD1St,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0C2V3LNL1,VKAMCOVER0109,Autofy RE Size Bike Cover Dustproof UV Protection Bike Body Cover for All Two Wheeler Bikes Upto for Royal Enfield Size with Carry Bag - Black - Mark Territory,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UG19Y41xt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UN6gJg1yt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJYc7K7mt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CDQ8FXWL,VKAMCOVER0127,Autofy Glory 100% (Tested) Waterproof RE Size Bike Cover - Dust & UV Proof Bike Body Cover with Waterproof Taping Along The Stitches for All Two Wheeler Bikes Upto Royal Enfield Size - Black,1,Rs.100.00,12%,0%,62011390,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Uw6fPc7Rt,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:57:56 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPHZMHS,VKAMCOMBO0030,Autofy Brush RAGE-1 RAGE-2 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush (2Pcs Combo),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXp8cTjrt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVB42QmMt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPHZMHS,VKAMCOMBO0030,Autofy Brush RAGE-1 RAGE-2 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush (2Pcs Combo),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJ57Dkmst,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UNMBTnmgt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UX8ncmjKt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UGcGMS1bt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJM15PW,VKAMCLEANER0062,Autofy 500GSM - 40cm x 40cm - [Pack of 3] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UnlkZLmqt,U6cznHmdt-66x,INVOICE0001,,11 Mar  2024 1:46:48 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,3,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6842s1st,U6cznHmdt-66x,INVOICE0001,,9 Mar  2024 12:59:17 PM IST,13 Mar  2024 1:00:08 PM IST,07AAFCV4903R1ZR,B0CLJLC144,VKAMCLEANER0113,Autofy 250GSM - 40cm x 40cm - [Pack of 2] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
